name,image,ingredients,calories,fat,carbs,protein
Apple Chutney,https://www.edamam.com/web-img/14f/14f6d18e6d1433c6b0e3cf143a8b6549.jpg,Raisin|Red onion|Onion|Jalapeño|Cider|Vinegar|Orange (fruit)|Ginger|Lime (fruit)|Salt|Granny Smith|Brown sugar|Sugar,314.0421666666667,0.5694400000000001,78.59486833333334,2.2317566666666666
Apple Chutney,https://www.edamam.com/web-img/5c6/5c61ee9077837ab89d9a88a0378e3a3c.jpg,Red onion|Onion|Salt|Brown sugar|Sugar|Orange (fruit)|Raisin|Ginger|Lime (fruit)|Vinegar|Cider|Granny Smith|Apple|Chili pepper|Jalapeño,314.0421666666667,0.5694400000000001,78.59486833333334,2.2317566666666666
Tangy Honey Glazed Ham,https://www.edamam.com/web-img/800/800c88a50610738a42a82e9f6a4d159e.jpg,Orange (fruit)|Pineapple|Juice|Brown sugar|Sugar|Mustard (condiment)|Clove|Honey|Ham,482.28072466666663,23.422199555000002,28.669649728333344,37.55631431666667
Horseradish and Honey-Glazed Ham,https://www.edamam.com/web-img/9bf/9bfe17d57966d4dbb840c6f1aba4ba8a.jpg,Horseradish|Ham|Juice|Lemon|Sugar|Brown sugar|Clove|Honey,327.9819112500609,14.663037221875875,24.92596337188932,23.523570406251498
Thyme Honey Glazed Ham,https://www.edamam.com/web-img/b51/b51e29e4934de9ab5ea9353d0fc364a6.jpg,Butter|Worcestershire sauce|Vinegar|Honey|Cider|Thyme|Ham,1294.174020833331,72.88890499999965,40.62496923611066,112.25954999999881
Honey Glazed Ham recipes,https://www.edamam.com/web-img/272/2729c0e01e2eb859f19301af9e929378,Ginger|Clove|Honey|Black pepper|Cayenne pepper|Brown sugar|Sugar|Ham,1062.6130603333334,54.54212812833334,51.67638696333335,87.446751225
How To Bake A Honey-Glazed Ham,https://www.edamam.com/web-img/925/925675678b45dc69e96daf19fc1408bc.jpg,Brown sugar|Sugar|Worcestershire sauce|Honey|Ham|Balsamic vinegar|Vinegar|Butter,1601.736049999929,86.289724,64.72792441664792,134.68469499999998
Honey-glazed Ham,https://www.edamam.com/web-img/b51/b5103785e331e9da9d3236245fad9811.jpg,Ham|Juice|Zest (ingredient)|Black pepper|Honey|Orange (fruit)|Clove|Onion|Garnish (food)|Bay leaf,486.269078475,22.835637228333336,24.691347866416663,44.26286282833334
Honey-Glazed Ham,https://www.edamam.com/web-img/855/8550f29f5331d08eca79d176e3dd79a9.jpg,Sugar|Brown sugar|Mustard (condiment)|Ginger|Juice|Clove|Orange juice|Ham|Honey,54.078333333333326,0.19605666666666668,13.190361666666668,0.5934883333333334
Grilled Salmon Ii,https://www.edamam.com/web-img/2b9/2b9adf0ba91ae22df05557d92faabba4.jpg,Ginger|Black pepper|Capsicum|Oil|Sesame oil|Peanut oil|Vinegar|Balsamic vinegar|Salt|Sugar|Brown sugar|Crushed red pepper|Garlic|Clove|Salmon|Soy sauce|Peanut|Sesame|Onion|Scallion,253.1061049333334,19.592494342333335,2.465065,16.005046992333337
Grilled Salmon II Recipe,https://www.edamam.com/web-img/2c5/2c52e74e730b97ee93b551671e930265.jpg,Oil|Garlic|Clove|Sesame oil|Sesame|Capsicum|Black pepper|Scallion|Onion|Crushed red pepper|Ginger|Balsamic vinegar|Vinegar|Peanut|Peanut oil|Sugar|Brown sugar|Soy sauce|Salt|Salmon,379.6591574000001,29.3887415135,3.6975975,24.007570488500004
Homemade Sloppy Joes,https://www.edamam.com/web-img/3c5/3c5561a8dd41ef67dbed83db9265e291.jpg,Cumin|Cinnamon|Clove|Garlic|Olive|Tomato|Olive oil|Water|Sugar|Brown sugar|Ketchup|Black pepper|Kosher salt|Beef|Ground beef|Tomato paste|Salt|Chili pepper|Chili powder|Bell pepper|Onion,222.45412782214942,15.323921576388893,11.05931649303677,11.496010702930533
